cid,name,type,notnull,dflt_value,pk
0,id,TEXT,0,,1
1,tool_name,TEXT,1,,0
2,tool_category,TEXT,1,,0
3,mcp_service_url,TEXT,1,,0
4,description,TEXT,0,,0
5,input_schema,TEXT,0,,0
6,requires_approval,INTEGER,0,0,0
7,enabled,INTEGER,0,1,0
8,cost_per_call_usd,"DECIMAL(10,6)",0,,0
9,created_at,TEXT,1,datetime('now'),0
10,updated_at,TEXT,1,datetime('now'),0
11,intent_tags,TEXT,0,NULL,0
12,modes_json,TEXT,0,"'[""agent"",""ask"",""plan"",""debug""]'",0
13,is_degraded,INTEGER,1,0,0
14,failure_rate,REAL,0,0.0,0
15,avg_latency_ms,REAL,0,NULL,0
16,last_health_check,INTEGER,0,NULL,0
